Genetic Algorithm

Error results
---------------------------
683.628, 59.57400565094545%
569.487, 58.85677026733319%
722.601, 59.313192784177346%
1289.954, 39.51314931536623%
723.789, 61.03021082373397%
738.178, 59.96522495109758%
566.845, 58.335144533797%
719.636, 41.44751141056292%
673.343, 57.183221038904584%
795.592, 56.79200173875244%
643.065, 48.03303629645729%
852.552, 43.27320147793958%
773.195, 60.46511627906976%
641.701, 57.81351880026081%
919.207, 39.75222777657031%
785.120, 43.79482721147577%
730.354, 42.05607476635514%
606.035, 50.749836991958276%
793.230, 44.338187350575964%
603.618, 45.77265811780048%
626.436, 53.792653770919365%
846.891, 40.425994349054555%
527.815, 65.33362312540753%
751.279, 59.61747446207346%
669.784, 47.33753531840904%
754.794, 40.23038469897848%
556.986, 57.83525320582482%
667.921, 60.48685068463377%
634.343, 56.42251684416431%
805.839, 43.055857422299496%
824.626, 41.273636166050856%
561.343, 56.4007824386003%
668.878, 55.2923277548359%
616.732, 57.03108019995653%
542.883, 62.63855683547055%
649.036, 43.12106063899152%
862.377, 39.86089980439035%
835.264, 60.59552271245382%
703.926, 43.903499239295805%
969.013, 40.90415127146272%
829.343, 44.55553140621604%
948.286, 40.5564007824386%
751.697, 58.443816561617034%
639.832, 43.142795044555534%
784.182, 57.03108019995653%
622.883, 59.09584872853727%
596.290, 49.098022169093674%
592.225, 56.074766355140184%
907.886, 42.40382525537926%
627.027, 58.11780047815692%
906.664, 40.68680721582265%
698.868, 59.313192784177346%
612.700, 47.88089545750924%
768.109, 59.487068028689414%
549.775, 60.269506628993696%
690.655, 59.20452075635731%
736.589, 57.57444033905673%
657.504, 40.90415127146272%
688.485, 45.77265811780048%
594.695, 55.11845251032385%
626.122, 52.618995870462946%
1084.579, 40.18691588785047%
830.597, 60.13910019560965%
728.024, 41.947402738535104%
741.557, 60.29124103455771%
675.183, 54.9880460769398%
695.221, 57.509237122364695%
906.630, 44.29471853944795%
631.970, 56.85720495544447%
675.957, 59.487068028689414%
759.886, 60.13910019560965%
530.851, 60.94327320147794%
710.082, 43.816561617039774%
773.567, 43.01238861117149%
585.232, 53.74918495979135%
655.289, 56.77026733318844%
598.763, 48.92414692458161%
568.702, 59.18278635079331%
621.729, 60.39991306237774%
830.859, 42.208215605303195%
720.076, 60.312975440121704%
736.525, 57.46576831123669%
657.445, 44.490328189524014%
652.909, 54.74896761573571%
724.156, 57.444033905672676%
714.844, 60.312975440121704%
839.524, 60.09563138448163%
712.618, 59.943490545533585%
522.079, 63.051510541186694%
709.158, 59.96522495109758%
716.338, 60.182569006737666%
852.484, 60.50858509019778%
626.874, 44.012171267115846%
579.623, 53.271028037383175%
584.875, 56.22690719408824%
600.349, 48.772006085633556%
490.287, 66.98543794827212%
744.727, 60.22603781786569%
654.221, 43.903499239295805%
590.471, 54.20560747663551%
569.347, 50.66289936970224%
725.359, 56.00956313844816%
605.655, 46.0986742012606%
574.274, 51.749619647902634%
676.253, 45.011953923060204%
582.883, 48.90241251901761%
