Randomized Hill Climbing

Error results
---------------------------
744.588, 60.29124103455771%
744.588, 60.29124103455771%
744.477, 60.29124103455771%
743.638, 60.312975440121704%
743.686, 60.312975440121704%
743.636, 60.312975440121704%
743.636, 60.312975440121704%
743.635, 60.312975440121704%
743.621, 60.312975440121704%
743.621, 60.312975440121704%
743.641, 60.312975440121704%
743.614, 60.312975440121704%
743.614, 60.312975440121704%
743.163, 60.33470984568572%
743.163, 60.33470984568572%
742.803, 60.33470984568572%
742.803, 60.33470984568572%
742.815, 60.33470984568572%
742.803, 60.33470984568572%
742.831, 60.33470984568572%
742.827, 60.33470984568572%
742.803, 60.33470984568572%
742.803, 60.33470984568572%
742.782, 60.33470984568572%
742.782, 60.33470984568572%
742.747, 60.33470984568572%
742.747, 60.33470984568572%
742.764, 60.33470984568572%
742.755, 60.33470984568572%
742.747, 60.33470984568572%
742.722, 60.33470984568572%
742.722, 60.33470984568572%
742.737, 60.33470984568572%
742.722, 60.33470984568572%
742.722, 60.33470984568572%
742.500, 60.312975440121704%
742.500, 60.312975440121704%
742.439, 60.312975440121704%
742.439, 60.312975440121704%
742.439, 60.312975440121704%
742.399, 60.312975440121704%
742.380, 60.312975440121704%
742.504, 60.312975440121704%
742.345, 60.312975440121704%
742.325, 60.312975440121704%
742.325, 60.312975440121704%
740.830, 60.312975440121704%
740.820, 60.312975440121704%
740.819, 60.312975440121704%
740.819, 60.312975440121704%
740.818, 60.312975440121704%
740.800, 60.312975440121704%
740.800, 60.312975440121704%
740.800, 60.312975440121704%
737.939, 60.29124103455771%
737.938, 60.29124103455771%
737.885, 60.29124103455771%
738.002, 60.29124103455771%
738.417, 60.29124103455771%
737.666, 60.29124103455771%
737.654, 60.29124103455771%
737.654, 60.29124103455771%
737.654, 60.29124103455771%
737.654, 60.29124103455771%
737.654, 60.29124103455771%
737.686, 60.29124103455771%
737.654, 60.29124103455771%
737.665, 60.29124103455771%
697.073, 60.247772223429685%
697.073, 60.247772223429685%
697.419, 60.247772223429685%
697.073, 60.247772223429685%
697.073, 60.247772223429685%
697.072, 60.247772223429685%
697.134, 60.247772223429685%
697.063, 60.247772223429685%
696.882, 60.269506628993696%
696.858, 60.269506628993696%
696.858, 60.269506628993696%
696.911, 60.269506628993696%
696.791, 60.269506628993696%
696.692, 60.269506628993696%
696.637, 60.269506628993696%
696.637, 60.269506628993696%
696.830, 60.269506628993696%
696.648, 60.269506628993696%
696.637, 60.269506628993696%
696.728, 60.269506628993696%
696.637, 60.269506628993696%
696.637, 60.269506628993696%
705.358, 60.312975440121704%
696.637, 60.269506628993696%
696.637, 60.269506628993696%
696.832, 60.269506628993696%
696.567, 60.269506628993696%
696.567, 60.269506628993696%
696.586, 60.269506628993696%
696.566, 60.269506628993696%
696.566, 60.269506628993696%
696.617, 60.269506628993696%
696.566, 60.269506628993696%
696.566, 60.269506628993696%
696.611, 60.269506628993696%
696.865, 60.247772223429685%
696.566, 60.269506628993696%
696.566, 60.269506628993696%
696.057, 60.33470984568572%
696.047, 60.33470984568572%
696.047, 60.33470984568572%
696.049, 60.33470984568572%
695.646, 60.33470984568572%
695.646, 60.33470984568572%
695.643, 60.33470984568572%
695.627, 60.33470984568572%
683.705, 60.33470984568572%
683.705, 60.33470984568572%
683.705, 60.33470984568572%
683.471, 60.33470984568572%
683.776, 60.33470984568572%
683.471, 60.33470984568572%
683.470, 60.33470984568572%
683.461, 60.33470984568572%
683.475, 60.33470984568572%
683.446, 60.33470984568572%
683.426, 60.33470984568572%
683.426, 60.33470984568572%
683.426, 60.33470984568572%
683.426, 60.33470984568572%
683.491, 60.33470984568572%
683.310, 60.33470984568572%
683.234, 60.35644425124973%
683.170, 60.35644425124973%
683.170, 60.35644425124973%
683.170, 60.35644425124973%
683.188, 60.35644425124973%
683.170, 60.35644425124973%
683.001, 60.35644425124973%
682.996, 60.35644425124973%
682.994, 60.35644425124973%
682.994, 60.35644425124973%
682.994, 60.35644425124973%
682.913, 60.35644425124973%
682.913, 60.35644425124973%
683.727, 60.35644425124973%
682.913, 60.35644425124973%
682.909, 60.35644425124973%
683.898, 60.33470984568572%
682.909, 60.35644425124973%
682.909, 60.35644425124973%
681.570, 60.35644425124973%
681.571, 60.35644425124973%
681.549, 60.35644425124973%
681.541, 60.35644425124973%
681.541, 60.35644425124973%
681.209, 60.35644425124973%
681.207, 60.35644425124973%
681.206, 60.35644425124973%
681.206, 60.35644425124973%
681.225, 60.35644425124973%
681.325, 60.35644425124973%
681.202, 60.35644425124973%
681.202, 60.35644425124973%
681.206, 60.35644425124973%
681.200, 60.35644425124973%
681.200, 60.35644425124973%
681.200, 60.35644425124973%
681.276, 60.35644425124973%
681.306, 60.35644425124973%
681.200, 60.35644425124973%
681.192, 60.35644425124973%
681.146, 60.35644425124973%
681.146, 60.35644425124973%
681.141, 60.35644425124973%
681.076, 60.35644425124973%
681.086, 60.35644425124973%
681.076, 60.35644425124973%
656.980, 60.312975440121704%
657.303, 60.312975440121704%
656.980, 60.312975440121704%
656.977, 60.312975440121704%
656.977, 60.312975440121704%
656.977, 60.312975440121704%
656.977, 60.312975440121704%
656.977, 60.312975440121704%
656.986, 60.312975440121704%
656.785, 60.312975440121704%
